requirement_id,owner,verification_ids,implementation_tasks,requirement
CW-001,COURSEWEAVE.md,V01;V07,2;8,Both editions MUST consume the same canonical manifest contracts and deterministic policy/progress engines. Client forms and assistants MUST NOT establish alternative runtime rules.
CW-002,COURSEWEAVE.md,V01;V07;V09,2;8;11,Exports targeting Student v0.2.0 MUST retain schema version 2 and pass the released validator as well as candidate validation. Author-only fields MUST NOT be inserted into that manifest.
CW-003,COURSEWEAVE.md,V02;V03;V07,3;4;8,Existing course/module/phase/check/objective IDs and notebook cell IDs MUST survive import and unchanged export. Explicit identity edits MUST show their impact; no silent renumbering or migration is allowed.
CW-004,COURSEWEAVE.md,V02;V08;V09,3;9;11,"Author sources, student work, preview work, application runtimes, and evidence MUST use distinct owned local directories. Import and preview MUST create copies; they MUST NOT mutate the source or a student home."
CW-005,COURSEWEAVE.md,V02;V03;V09,3;4;11,"Active work MUST use verified nonsynced storage. Symlinks, path traversal, special files, and redirected destinations MUST fail safely at read/write boundaries."
CW-006,COURSEWEAVE.md,V03;V04;V10,4;5;10,"An assistant response MUST remain advice, a review report, or a pending change. Only an explicit human decision through the authoritative service may apply the shown revision."
CW-007,COURSEWEAVE.md,V03;V10,4;10,"Each accepted change MUST target one manifest or one authored file, use an expected content hash/revision, and be atomic and idempotent. A collection of changes MUST NOT be described as one atomic transaction."
CW-008,COURSEWEAVE.md,V07;V09;V10,8;10;11,"A package export MUST use a stable snapshot and explicit file inventory, validate before finalization, record hashes, and never overwrite an existing export. Concurrent source changes MUST invalidate or restart the snapshot visibly."
CW-009,COURSEWEAVE.md,V01;V08;V09,2;9;11,"Effective student assistance MUST be computed from the active phase and valid records before any provider call. Disabled, observer-only, and unmet gates MUST block calls, including greetings."
CW-010,COURSEWEAVE.md,V04;V08;V09,5;9;11,"Student workspace content MUST require explicit permitted sharing. Author permissions MUST NOT extend into any student's files, records, provider credentials, or conversations."
CW-011,COURSEWEAVE.md,V04;V07;V09,5;8;11,"Model availability MUST NOT be required for manual authoring, local validation, reading, native checks, deterministic progress, or export of an otherwise valid course."
